"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","365 D % CHNG  17-Jul-2020","30 D % CHNG  18-Jun-2021"
"JSWSTEEL","709.85","717.90","703.30","704.55","709.55","5.00","0.71",6840353,"4,871,562,599.54","773.00","200.10","243.68","2.18"
"MFSL","1,127.65","1,145.00","1,115.00","1,116.50","1,124.00","7.50","0.67",1933936,"2,186,585,399.04","1,145.00","514.90","98.86","2.95"
"ABBOTINDIA","17,825.05","18,006.00","17,820.00","17,859.85","17,975.00","115.15","0.64",24249,"435,141,272.79","18,006.00","13,959.80","17.99","8.43"
"GODREJAGRO","658.00","662.40","644.50","654.85","658.90","4.05","0.62",256221,"167,671,022.40","674.40","440.25","43.91","6.44"
"NESTLEIND","18,012.00","18,449.00","17,972.50","18,101.35","18,200.00","98.65","0.54",139157,"2,540,141,263.46","18,844.00","15,100.00","4.92","3.40"
"L&TFH","88.05","89.00","87.25","87.70","88.15","0.45","0.51",7915810,"698,095,283.90","113.40","51.96","43.42","-8.02"
"LT","1,610.15","1,619.00","1,584.25","1,597.60","1,605.60","8.00","0.50",3984778,"6,396,325,797.82","1,647.15","843.00","76.65","4.84"
"HDFCBANK","1,436.10","1,449.90","1,436.10","1,434.55","1,441.50","6.95","0.48",11200715,"16,167,448,052.45","1,641.00","993.00","28.19","-5.32"
"EICHERMOT","2,566.10","2,598.00","2,542.65","2,563.20","2,575.00","11.80","0.46",492846,"1,267,333,775.16","3,037.00","2,006.67","-87.68","-5.79"
"ASHOKLEY","122.30","123.25","120.80","121.85","122.35","0.50","0.41",12160329,"1,483,316,931.42","138.90","48.00","141.77","-1.26"
"OBEROIRLTY","710.00","714.00","701.60","703.50","706.00","2.50","0.36",359641,"254,183,469.57","729.00","330.85","80.71","16.44"
"DMART","3,499.00","3,533.40","3,465.25","3,483.55","3,494.55","11.00","0.32",286345,"1,002,657,061.65","3,533.40","1,954.85","71.49","5.07"
"LICHSGFIN","444.00","448.50","440.45","442.65","444.00","1.35","0.30",2107606,"937,716,061.52","542.45","255.40","62.38","-5.36"
"TECHM","1,120.20","1,127.70","1,104.05","1,120.20","1,123.25","3.05","0.27",1397105,"1,556,207,317.40","1,152.50","642.55","71.65","2.82"
"BOSCHLTD","15,033.75","15,180.00","14,953.55","14,981.30","15,022.00","40.70","0.27",19346,"291,345,536.58","16,830.05","11,265.05","13.50","-0.63"
"TITAN","1,733.00","1,742.40","1,713.35","1,722.85","1,726.95","4.10","0.24",1075244,"1,858,387,214.96","1,792.95","1,028.55","62.90","-1.77"
"IGL","549.90","551.45","542.35","546.95","548.25","1.30","0.24",7588089,"4,147,042,400.28","594.85","364.10","34.20","6.71"
"MPHASIS","2,600.00","2,616.95","2,563.05","2,589.15","2,595.00","5.85","0.23",517705,"1,343,661,911.10","2,677.00","1,080.00","131.79","25.25"
"MUTHOOTFIN","1,566.00","1,580.15","1,536.15","1,556.80","1,560.00","3.20","0.21",1020536,"1,592,454,579.76","1,616.05","1,000.00","19.48","4.84"
"AMBUJACEM","408.85","414.00","401.55","408.10","408.80","0.70","0.17",7469960,"3,053,719,648.00","414.00","197.45","103.09","17.25"
"APOLLOHOSP","4,120.90","4,189.65","4,050.45","4,100.35","4,106.50","6.15","0.15",859687,"3,540,087,903.56","4,189.65","1,492.05","171.18","19.23"
"IPCALAB","2,225.90","2,245.00","2,149.05","2,225.90","2,229.00","3.10","0.14",235294,"521,809,150.86","2,460.00","1,715.00","24.86","10.27"
"AARTIIND","900.00","904.75","884.05","895.80","897.00","1.20","0.13",1144038,"1,023,936,890.76","931.83","470.00","-5.73","4.28"
"GSPL","343.50","348.70","338.60","340.55","341.00","0.45","0.13",450937,"155,077,234.30","353.20","177.40","61.47","2.41"
"ONGC","115.35","115.90","114.00","114.55","114.70","0.15","0.13",9704729,"1,115,170,409.39","128.50","64.10","41.42","-5.25"
"BANKBARODA","79.90","81.10","79.25","79.75","79.85","0.10","0.13",25418706,"2,038,834,408.26","99.85","39.50","64.09","-4.49"
"ICICIBANK","680.15","685.60","673.30","676.75","677.50","0.75","0.11",12598869,"8,570,884,592.01","687.75","333.75","77.25","4.28"
"MARUTI","7,241.30","7,320.00","7,160.85","7,235.80","7,243.30","7.50","0.10",417171,"3,021,557,037.87","8,329.00","5,928.05","20.58","-5.40"
"OIL","162.60","162.95","160.05","161.20","161.35","0.15","0.09",333138,"53,781,798.72","177.40","83.50","61.77","2.84"
"BATAINDIA","1,578.00","1,591.30","1,565.10","1,577.20","1,578.20","1.00","0.06",357983,"566,125,055.69","1,696.95","1,213.80","22.27","-3.24"
"ADANIENT","1,403.90","1,424.60","1,378.15","1,403.90","1,404.00","0.10","0.01",2978042,"4,169,229,019.58","1,717.20","163.00","731.94","-7.60"
"WIPRO","588.90","594.65","584.15","590.45","590.35","-0.10","-0.02",3983137,"2,345,231,234.23","601.80","267.15","118.24","7.84"
"MINDTREE","2,726.80","2,746.00","2,701.00","2,721.30","2,720.00","-1.30","-0.05",276385,"752,322,733.85","2,793.55","1,020.35","166.53","6.60"
"COFORGE","4,745.00","4,759.00","4,685.00","4,717.55","4,715.00","-2.55","-0.05",183614,"867,570,641.58","4,767.30","1,693.80","-","15.13"
"HCLTECH","1,000.00","1,002.20","983.85","1,000.30","993.65","-0.65","-0.07",2883514,"2,858,283,252.50","1,067.00","676.50","47.11","0.47"
"GODREJIND","550.45","554.90","541.50","547.70","547.00","-0.70","-0.13",186532,"102,163,576.40","611.55","350.10","49.89","-4.02"
"TATAELXSI","4,224.00","4,239.95","4,150.05","4,199.10","4,192.80","-6.30","-0.15",69128,"290,291,284.24","4,575.00","892.05","362.61","11.42"
"HDFCAMC","2,874.00","2,889.75","2,825.00","2,868.75","2,864.05","-4.70","-0.16",154117,"441,671,580.94","3,358.90","2,070.05","16.37","-3.90"
"LTI","4,360.00","4,398.70","4,278.05","4,351.40","4,344.00","-7.40","-0.17",146187,"636,695,550.45","4,600.00","2,261.00","91.32","3.23"
"HAVELLS","1,165.00","1,177.65","1,151.65","1,162.30","1,160.00","-2.30","-0.20",1466489,"1,711,260,678.99","1,231.90","568.40","91.58","16.31"
"APOLLOTYRE","223.50","225.35","221.15","222.25","221.80","-0.45","-0.20",2417871,"539,958,951.72","261.25","105.90","103.90","0.45"
"BHARATFORG","784.20","786.90","776.10","783.70","782.00","-1.70","-0.22",634528,"496,372,218.56","832.00","376.00","104.04","5.71"
"SAIL","131.00","132.05","128.25","129.60","129.30","-0.30","-0.23",45361755,"5,921,977,115.25","151.30","32.65","277.29","-1.33"
"INFY","1,605.00","1,609.30","1,597.90","1,603.90","1,600.10","-3.80","-0.24",5892859,"9,446,547,619.95","1,611.65","912.10","73.80","1.89"
"UNIONBANK","36.20","36.75","35.65","36.05","35.95","-0.10","-0.28",10192529,"368,256,072.77","45.25","23.10","18.00","-8.62"
"TCS","3,200.00","3,210.00","3,161.15","3,197.55","3,187.95","-9.60","-0.30",1121367,"3,571,609,963.35","3,399.65","2,163.50","48.21","-5.42"
"INDUSTOWER","226.50","227.40","221.15","224.20","223.50","-0.70","-0.31",2751131,"619,252,076.79","282.65","162.20","-","-8.28"
"HINDUNILVR","2,348.70","2,359.45","2,332.00","2,348.70","2,341.00","-7.70","-0.33",1656945,"3,881,161,690.20","2,533.95","2,000.05","6.31","-4.08"
"MGL","1,143.00","1,154.70","1,134.00","1,139.10","1,135.00","-4.10","-0.36",277426,"317,275,470.64","1,284.40","779.65","10.82","1.10"
"MARICO","537.90","540.35","531.50","537.00","535.00","-2.00","-0.37",968098,"518,716,589.38","549.60","333.00","50.38","4.95"
"ABCAPITAL","118.30","120.65","117.15","117.65","117.20","-0.45","-0.38",3257851,"386,641,756.68","139.70","53.00","99.92","-1.13"
"EXIDEIND","178.65","179.40","176.05","178.20","177.50","-0.70","-0.39",1636531,"290,909,750.56","219.30","150.40","12.68","-2.49"
"BAJAJ-AUTO","3,850.00","3,859.00","3,812.00","3,836.35","3,821.00","-15.35","-0.40",391373,"1,501,921,283.61","4,361.40","2,822.45","28.50","-8.57"
"ULTRACEMCO","7,625.00","7,675.00","7,559.00","7,616.70","7,585.00","-31.70","-0.42",297511,"2,266,322,768.71","7,675.00","3,753.90","101.37","10.02"
"GODREJPROP","1,549.00","1,573.60","1,520.00","1,541.10","1,534.40","-6.70","-0.43",624588,"969,135,724.32","1,596.80","819.75","72.02","10.00"
"COLPAL","1,805.95","1,810.00","1,788.10","1,805.95","1,798.00","-7.95","-0.44",202503,"364,248,221.19","1,823.40","1,322.15","30.47","7.69"
"NMDC","175.40","177.60","173.70","174.80","174.00","-0.80","-0.46",14964268,"2,628,024,746.16","213.20","75.60","105.77","-1.66"
"TVSMOTOR","586.00","595.90","579.65","584.85","582.00","-2.85","-0.49",1280032,"752,351,608.32","666.00","383.70","46.89","-6.03"
"POWERGRID","233.00","234.85","230.65","232.70","231.50","-1.20","-0.52",6093515,"1,420,642,087.10","251.50","154.60","27.86","0.80"
"SHREECEM","28,000.00","28,473.00","27,751.30","27,968.30","27,824.00","-144.30","-0.52",46133,"1,299,915,836.81","32,048.00","18,183.55","31.10","-2.65"
"HAL","1,111.00","1,120.00","1,086.00","1,104.85","1,099.00","-5.85","-0.53",237406,"262,032,124.38","1,423.00","658.00","21.45","6.54"
"NTPC","119.30","119.60","118.20","119.35","118.70","-0.65","-0.54",5280342,"627,621,450.12","122.00","78.10","33.50","2.84"
"PIDILITIND","2,314.40","2,326.50","2,289.00","2,321.30","2,300.00","-12.80","-0.55",183364,"423,215,113.84","2,333.95","1,306.95","68.37","8.76"
"CESC","843.00","850.35","825.00","837.75","833.00","-4.75","-0.57",354658,"297,231,776.64","870.90","538.65","45.39","8.38"
"HEROMOTOCO","2,821.80","2,826.25","2,790.50","2,810.25","2,794.00","-16.25","-0.58",427442,"1,200,111,805.72","3,629.05","2,620.75","2.54","-4.39"
"AMARAJABAT","725.95","729.65","717.05","724.20","719.70","-4.50","-0.62",628319,"454,639,062.02","1,025.55","675.10","2.27","-2.82"
"PNB","39.50","40.00","39.05","39.35","39.10","-0.25","-0.64",41915784,"1,652,739,363.12","46.35","26.30","17.29","-6.97"
"CUMMINSIND","852.00","863.50","843.80","851.90","846.40","-5.50","-0.65",423068,"361,071,615.28","934.25","389.00","115.56","-0.71"
"BANDHANBNK","300.00","301.80","292.70","297.75","295.80","-1.95","-0.65",4558881,"1,351,662,627.69","430.70","251.40","-12.77","-10.59"
"BPCL","456.00","460.40","452.25","456.00","453.00","-3.00","-0.66",2317628,"1,056,884,720.56","493.90","325.00","1.69","-2.99"
"DEEPAKNTR","1,933.00","1,947.80","1,891.40","1,921.80","1,908.90","-12.90","-0.67",651804,"1,253,490,790.44","1,999.50","567.00","224.16","7.65"
"DIXON","4,566.95","4,615.00","4,410.00","4,530.50","4,500.00","-30.50","-0.67",333481,"1,514,023,748.86","21,499.00","3,345.15","-41.06","0.70"
"BEL","184.60","185.25","181.80","184.60","183.35","-1.25","-0.68",4812249,"883,384,548.93","187.75","86.35","80.71","5.49"
"BERGEPAINT","851.05","856.00","835.75","849.75","843.95","-5.80","-0.68",500746,"423,696,212.98","872.95","513.20","62.14","5.42"
"IRCTC","2,327.95","2,347.00","2,281.00","2,313.30","2,297.20","-16.10","-0.70",926459,"2,142,769,962.74","2,479.95","1,290.05","70.36","11.82"
"SRTRANSFIN","1,379.10","1,412.00","1,352.45","1,370.40","1,360.75","-9.65","-0.70",1630050,"2,255,809,894.50","1,534.95","555.55","93.87","0.17"
"BHARTIARTL","545.80","545.80","536.15","544.05","540.15","-3.90","-0.72",5727485,"3,097,882,086.80","623.00","394.00","-2.75","1.67"
"VOLTAS","1,033.75","1,048.00","1,018.60","1,026.95","1,019.50","-7.45","-0.73",876669,"906,896,547.12","1,132.00","573.80","73.00","-0.29"
"UPL","820.00","825.65","806.15","819.95","813.95","-6.00","-0.73",1721268,"1,402,041,636.72","864.70","399.00","80.55","1.84"
"TATAMOTORS","293.00","297.65","288.60","293.15","291.00","-2.15","-0.73",55132877,"16,123,058,549.88","360.75","101.30","182.55","-13.69"
"PETRONET","219.50","219.70","216.25","218.85","217.20","-1.65","-0.75",3190435,"694,493,890.80","275.35","207.25","-9.28","-4.12"
"SBICARD","1,021.00","1,028.40","1,005.00","1,017.25","1,009.00","-8.25","-0.81",1703257,"1,729,248,701.82","1,139.50","720.90","37.32","4.62"
"NAVINFLUOR","3,725.00","3,780.00","3,645.00","3,707.55","3,677.35","-30.20","-0.81",494272,"1,845,977,409.28","4,015.00","1,692.00","101.98","1.64"
"EMAMILTD","562.50","565.00","553.15","559.60","555.00","-4.60","-0.82",448932,"250,926,052.08","578.50","235.55","129.25","3.64"
"IOC","104.75","105.35","103.25","104.65","103.75","-0.90","-0.86",7727582,"805,445,871.86","117.85","71.65","12.77","-6.06"
"BRITANNIA","3,496.00","3,504.85","3,435.15","3,482.00","3,451.75","-30.25","-0.87",210607,"729,755,361.07","4,005.00","3,317.30","-8.81","-5.12"
"IDFCFIRSTB","51.50","51.80","50.50","51.20","50.75","-0.45","-0.88",21005505,"1,075,271,800.95","69.30","26.00","79.96","-12.10"
"TATAPOWER","122.80","123.75","120.20","122.60","121.45","-1.15","-0.94",16292819,"1,988,212,702.57","132.70","47.50","150.72","1.24"
"DABUR","597.35","598.80","587.75","595.35","589.75","-5.60","-0.94",1585300,"939,115,867.00","605.00","462.95","26.27","5.47"
"M&M","756.00","760.00","742.65","754.30","747.20","-7.10","-0.94",1732564,"1,299,544,279.48","952.05","567.50","25.99","-5.03"
"VBL","758.00","765.00","738.10","751.05","743.85","-7.20","-0.96",367390,"277,125,950.90","918.40","430.90","8.00","4.83"
"INDUSINDBK","989.00","994.00","963.05","981.30","971.50","-9.80","-1.00",3311920,"3,246,012,792.00","1,119.50","483.25","87.90","-3.12"
"BALKRISIND","2,334.00","2,356.20","2,307.00","2,335.70","2,311.90","-23.80","-1.02",142940,"332,993,024.00","2,404.30","1,230.00","85.73","3.93"
"MRF","80,925.00","81,319.95","79,947.85","80,917.75","80,085.00","-832.75","-1.03",6581,"529,279,425.78","98,599.95","55,300.00","28.49","0.50"
"ENDURANCE","1,670.00","1,695.00","1,625.00","1,656.00","1,638.80","-17.20","-1.04",59722,"99,590,615.54","1,715.55","881.15","86.67","6.84"
"ESCORTS","1,159.85","1,160.55","1,135.10","1,154.30","1,142.00","-12.30","-1.07",594744,"682,064,314.08","1,468.45","1,077.40","2.31","-2.38"
"COALINDIA","144.50","145.25","142.10","144.00","142.45","-1.55","-1.08",4245486,"608,887,602.12","165.00","109.55","9.42","-3.19"
"ASIANPAINT","3,079.40","3,081.50","3,021.30","3,061.20","3,028.15","-33.05","-1.08",904289,"2,751,434,925.85","3,179.50","1,697.50","78.80","1.91"
"RELIANCE","2,076.80","2,083.70","2,042.00","2,076.85","2,054.00","-22.85","-1.10",4995516,"10,300,704,036.84","2,369.35","1,830.00","-3.23","-1.31"
"ITC","212.00","213.00","207.95","211.15","208.80","-2.35","-1.11",24436949,"5,139,090,374.70","239.20","163.35","5.79","2.97"
"ALKEM","3,430.00","3,497.70","3,370.05","3,427.40","3,389.00","-38.40","-1.12",274430,"945,211,016.10","3,558.90","2,415.10","37.67","9.08"
"WHIRLPOOL","2,236.00","2,242.00","2,189.45","2,224.95","2,199.95","-25.00","-1.12",75999,"168,032,269.02","2,787.00","1,980.10","-0.02","0.75"
"SANOFI","8,025.00","8,061.00","7,803.00","7,987.80","7,898.00","-89.80","-1.12",133903,"1,068,087,991.74","8,989.00","7,424.00","3.54","3.76"
"TATACONSUM","780.40","788.15","764.00","776.35","767.45","-8.90","-1.15",2001824,"1,553,215,241.60","788.15","404.30","90.07","2.47"
"VGUARD","254.75","257.00","250.75","254.65","251.70","-2.95","-1.16",1474394,"374,392,868.42","285.00","159.35","50.86","-5.86"
"GMRINFRA","28.35","28.60","27.80","28.25","27.90","-0.35","-1.24",18354875,"517,056,828.75","33.90","20.60","26.40","-10.88"
"FEDERALBNK","87.50","88.45","86.05","87.25","86.15","-1.10","-1.26",26001457,"2,275,647,516.64","92.50","45.35","51.61","1.75"
"BANKINDIA","72.00","72.95","70.25","71.85","70.90","-0.95","-1.32",2044140,"146,646,603.60","101.40","38.20","51.42","-7.47"
"CADILAHC","615.00","622.00","591.00","605.55","597.50","-8.05","-1.33",6212666,"3,765,310,482.62","673.70","350.50","66.77","-2.96"
"SUNTV","548.05","560.00","531.20","547.40","540.10","-7.30","-1.33",5489658,"2,997,682,647.48","571.00","372.00","45.72","0.83"
"UBL","1,435.00","1,449.00","1,412.20","1,436.15","1,416.90","-19.25","-1.34",288080,"411,568,372.80","1,498.95","897.00","43.85","3.94"
"PRESTIGE","344.30","352.00","333.00","342.55","337.95","-4.60","-1.34",1428393,"491,152,933.05","357.00","171.10","94.02","19.44"
"HDFC","2,470.90","2,474.00","2,430.00","2,464.30","2,431.20","-33.10","-1.34",2680260,"6,551,225,505.00","2,896.00","1,623.00","33.83","-1.79"
"CUB","154.50","154.80","150.60","153.70","151.60","-2.10","-1.37",1478220,"226,093,749.00","200.00","115.60","21.94","-11.74"
"INDIGO","1,731.05","1,749.70","1,691.85","1,740.30","1,716.00","-24.30","-1.40",612943,"1,052,686,696.49","1,860.00","875.25","83.53","0.70"
"RBLBANK","199.90","200.80","195.20","198.45","195.60","-2.85","-1.44",7434402,"1,468,443,083.04","274.30","156.10","8.50","-6.50"
"INDIAMART","7,325.00","7,325.00","7,166.00","7,286.85","7,182.00","-104.85","-1.44",61792,"446,536,798.40","9,950.00","2,341.00","196.77","4.04"
"PAGEIND","33,080.00","33,317.00","32,302.50","32,938.00","32,449.95","-488.05","-1.48",19724,"646,937,140.76","33,989.00","17,685.00","69.31","11.82"
"HINDPETRO","274.00","274.30","268.50","273.55","269.25","-4.30","-1.57",3117270,"844,593,133.80","312.00","162.90","19.77","-8.20"
"GAIL","141.85","142.00","138.55","141.35","139.10","-2.25","-1.59",8747945,"1,221,475,560.35","170.30","81.20","41.99","-7.67"
"SIEMENS","1,982.40","1,988.65","1,936.00","1,975.65","1,943.00","-32.65","-1.65",285262,"559,652,665.18","2,178.00","1,118.10","70.15","-1.97"
"CASTROLIND","143.70","144.45","140.85","143.45","141.00","-2.45","-1.71",579075,"82,668,747.00","154.90","104.00","25.07","-1.48"
"CHOLAFIN","492.00","496.60","481.30","491.70","483.30","-8.40","-1.71",1947895,"948,605,386.05","600.95","197.50","131.55","-7.56"
"ADANIGREEN","942.20","950.00","905.00","942.20","925.45","-16.75","-1.78",110537,"101,701,777.59","1,390.00","325.25","-","-19.28"
"YESBANK","13.35","13.40","13.00","13.30","13.05","-0.25","-1.88",135122387,"1,770,103,269.70","20.75","11.10","-2.56","-2.56"
"TATACHEM","760.00","763.80","739.05","758.30","743.60","-14.70","-1.94",1181138,"886,987,392.48","833.95","273.45","151.47","5.92"
"NAM-INDIA","401.00","403.00","386.70","397.30","389.30","-8.00","-2.01",1119637,"440,062,126.48","439.35","249.00","41.99","9.69"
"GRASIM","1,551.20","1,564.20","1,513.00","1,550.25","1,518.50","-31.75","-2.05",769307,"1,179,901,532.04","1,599.50","565.00","166.05","2.88"
"MCDOWELL-N","657.95","662.00","642.55","657.65","644.00","-13.65","-2.08",1752498,"1,142,383,346.28","690.00","494.00","9.83","-0.99"
"NATCOPHARM","1,059.00","1,069.35","1,022.30","1,057.40","1,035.05","-22.35","-2.11",726724,"757,849,588.92","1,189.00","710.30","44.88","-3.53"
"TORNTPOWER","467.00","470.25","456.20","467.40","457.40","-10.00","-2.14",573971,"264,290,686.66","508.70","293.00","46.93","3.41"
"BHEL","63.10","63.95","61.25","62.70","61.35","-1.35","-2.15",31595300,"1,975,022,203.00","79.55","26.75","69.92","-3.83"
"PIIND","3,099.00","3,117.60","2,983.05","3,075.35","3,009.00","-66.35","-2.16",393973,"1,195,633,200.13","3,309.75","1,752.50","71.02","6.06"
"HINDZINC","328.15","329.75","319.00","326.50","319.45","-7.05","-2.16",820843,"266,010,591.01","362.10","197.30","63.09","-3.84"
"TORNTPHARM","3,096.30","3,144.00","2,960.20","3,079.20","3,011.15","-68.05","-2.21",389562,"1,186,835,693.58","3,144.00","2,231.85","32.42","6.69"
"SYNGENE","629.80","634.95","610.05","628.85","614.95","-13.90","-2.21",321141,"199,974,500.70","700.00","443.00","36.65","8.15"
"BIOCON","394.95","394.95","378.00","389.50","380.85","-8.65","-2.22",4496288,"1,730,846,065.60","487.75","363.25","-6.18","-1.88"
"ZEEL","206.05","206.40","200.00","205.75","201.10","-4.65","-2.26",6733404,"1,365,736,333.32","261.00","134.65","35.63","-5.77"
"KOTAKBANK","1,752.00","1,753.00","1,693.85","1,740.60","1,700.15","-40.45","-2.32",4301131,"7,393,128,053.28","2,049.00","1,230.60","28.93","0.32"
"SRF","7,877.00","7,882.80","7,621.90","7,834.35","7,652.00","-182.35","-2.33",110833,"857,792,003.50","8,006.65","3,722.10","106.71","11.18"
"SUNPHARMA","705.00","705.70","673.85","703.40","686.90","-16.50","-2.35",5327355,"3,675,395,488.05","721.85","452.25","44.85","4.63"
"DIVISLAB","4,930.00","4,944.75","4,669.40","4,921.15","4,800.00","-121.15","-2.46",935854,"4,514,157,278.78","4,944.75","2,320.20","109.49","15.83"
"GLAND","4,070.00","4,078.00","3,834.05","4,019.25","3,920.00","-99.25","-2.47",423372,"1,664,360,006.40","4,172.00","1,700.00","-","25.98"
"GUJGASLTD","718.00","718.65","686.80","715.30","696.65","-18.65","-2.61",1506801,"1,054,293,591.69","742.80","281.00","143.55","11.19"
"VEDL","276.25","276.25","262.50","272.10","264.75","-7.35","-2.70",12185383,"3,280,548,811.26","296.30","91.20","142.84","3.78"
"CONCOR","661.55","662.80","628.65","658.25","640.40","-17.85","-2.71",1109916,"716,062,307.40","748.00","351.00","46.80","-5.81"
