"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","365 D % CHNG  17-Jul-2020","30 D % CHNG  18-Jun-2021"
"NIFTY 200","8,432.15","8,445.30","8,343.15","8,411.00","8,368.50","-42.50","-0.51",1203570264,"466,595,189,542.31","8,469.20","5,593.35","46.23","0.36"
"MANAPPURAM","196.50","211.40","194.60","194.35","209.25","14.90","7.67",32201211,"6,609,942,581.97","211.40","139.10","8.12","18.47"
"JSWENERGY","242.00","255.95","235.00","241.05","255.55","16.50","6.90",7374498,"1,811,102,963.82","255.95","44.75","429.78","56.68"
"PFIZER","5,682.25","6,104.00","5,672.15","5,672.90","6,029.50","356.60","6.29",674887,"4,038,942,237.94","6,104.00","4,179.90","30.63","2.30"
"HINDALCO","404.00","419.70","403.55","400.05","417.35","17.30","4.32",28240273,"11,716,324,462.24","427.50","154.40","156.11","6.42"
"FORTIS","247.10","257.05","246.60","246.65","256.50","9.85","3.99",6638535,"1,675,699,004.70","257.05","123.20","82.43","2.34"
"JINDALSTEL","406.05","423.35","406.00","403.80","418.50","14.70","3.64",18459577,"7,709,088,546.74","501.70","159.60","140.72","2.07"
"ATGL","905.00","940.50","880.00","907.45","940.00","32.55","3.59",292819,"267,879,605.77","1,679.00","143.10","-","-23.71"
"DHANI","220.90","228.70","210.65","219.20","226.25","7.05","3.22",2109438,"468,337,424.76","395.95","104.85","-","23.63"
"SBILIFE","1,098.00","1,113.75","1,063.00","1,076.65","1,111.00","34.35","3.19",6096747,"6,670,999,599.93","1,113.75","755.25","24.12","6.90"
"JUBLFOOD","3,588.00","3,708.10","3,580.10","3,559.50","3,668.00","108.50","3.05",1434020,"5,262,408,853.80","3,708.10","1,655.15","106.25","14.17"
"ISEC","718.95","746.50","718.50","713.05","733.80","20.75","2.91",1258875,"924,996,172.50","802.70","376.90","32.64","14.14"
"TATASTEEL","1,315.00","1,334.50","1,308.05","1,297.95","1,333.50","35.55","2.74",10341382,"13,675,546,970.62","1,334.50","342.75","275.02","11.39"
"LALPATHLAB","3,555.00","3,669.90","3,542.05","3,534.55","3,626.80","92.25","2.61",552695,"2,001,479,930.45","3,669.90","1,736.60","83.55","11.85"
"GODREJCP","976.05","1,004.70","969.10","976.55","998.50","21.95","2.25",1419282,"1,407,544,537.86","1,004.70","641.00","43.61","12.18"
"ABFRL","217.15","224.90","217.05","217.15","222.00","4.85","2.23",5605433,"1,247,433,059.82","231.65","117.00","69.58","-1.96"
"TRENT","892.00","925.95","885.05","891.05","910.95","19.90","2.23",947007,"862,969,598.82","947.95","540.60","54.31","3.19"
"PEL","2,260.50","2,410.00","2,260.50","2,252.60","2,299.00","46.40","2.06",2205459,"5,191,893,086.49","2,520.90","1,178.55","50.98","-7.04"
"BAJAJFINSV","13,531.15","13,844.95","13,503.15","13,525.05","13,795.60","270.55","2.00",413415,"5,678,622,964.35","13,844.95","5,400.00","115.70","8.32"
"BBTC","1,262.00","1,304.00","1,257.25","1,254.30","1,278.50","24.20","1.93",259020,"331,954,851.60","1,565.00","1,101.00","0.70","-5.79"
"NAUKRI","5,101.00","5,214.35","5,100.00","5,085.95","5,179.95","94.00","1.85",693909,"3,576,823,331.40","5,880.00","3,090.00","60.65","2.66"
"IDEA","8.30","8.50","8.30","8.30","8.45","0.15","1.81",141166507,"1,185,798,658.80","13.80","7.60","-1.19","-21.70"
"LTTS","3,468.95","3,562.05","3,467.85","3,443.35","3,504.00","60.65","1.76",462826,"1,632,003,156.42","3,580.00","1,405.00","139.20","17.64"
"AJANTPHARM","2,242.00","2,262.00","2,215.85","2,216.55","2,248.00","31.45","1.42",91916,"206,129,902.44","2,262.00","1,424.50","46.14","13.42"
"CANBK","147.00","150.60","146.50","146.65","148.70","2.05","1.40",17631036,"2,625,790,191.48","174.60","82.25","44.84","-4.40"
"SBIN","424.15","433.25","424.00","423.30","429.20","5.90","1.39",24119619,"10,371,436,170.00","441.95","175.50","120.53","-1.28"
"ICICIGI","1,458.10","1,480.25","1,457.20","1,455.95","1,474.95","19.00","1.30",493633,"726,380,959.50","1,626.45","1,200.00","12.21","-6.02"
"M&MFIN","146.00","150.40","145.05","146.30","148.05","1.75","1.20",19266901,"2,854,198,714.14","224.30","112.70","3.36","-8.02"
"CROMPTON","472.00","475.25","468.55","468.45","473.90","5.45","1.16",1095392,"515,951,539.84","496.70","238.00","87.04","14.12"
"AUBANK","1,179.00","1,201.95","1,176.05","1,179.50","1,193.15","13.65","1.16",1155050,"1,378,656,129.50","1,354.40","616.70","49.06","13.90"
"INDHOTEL","146.00","149.40","146.00","146.35","148.00","1.65","1.13",2407593,"356,757,130.74","157.30","76.10","84.90","-0.75"
"BAJFINANCE","6,180.00","6,327.00","6,175.00","6,162.45","6,231.10","68.65","1.11",2068528,"12,960,258,757.60","6,342.80","3,006.90","89.51","1.43"
"DALBHARAT","2,238.00","2,300.00","2,230.00","2,226.95","2,250.00","23.05","1.04",168470,"380,989,850.90","2,375.00","652.30","214.12","21.52"
"HDFCLIFE","666.00","674.80","662.90","663.10","669.75","6.65","1.00",3512513,"2,351,803,079.15","746.00","555.95","6.54","-8.66"
"DLF","338.00","344.55","328.65","333.95","337.00","3.05","0.91",27226565,"9,215,375,455.55","344.55","134.50","140.42","13.63"
"ICICIPRULI","640.75","657.90","639.30","646.80","652.50","5.70","0.88",1211793,"788,622,766.47","661.00","397.55","47.00","4.96"
"PGHH","12,765.00","12,872.85","12,740.00","12,771.70","12,872.00","100.30","0.79",2558,"32,725,338.14","14,135.65","9,691.40","18.15","-7.53"
"BAJAJHLDNG","3,882.00","3,917.95","3,865.40","3,881.90","3,910.00","28.10","0.72",23628,"92,127,225.96","4,060.00","2,212.65","45.12","6.17"
