"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","365 D % CHNG  17-Jul-2020","30 D % CHNG  18-Jun-2021"
"MARICO","532.90","534.00","527.00","530.15","527.90","-2.25","-0.42",654581,"347,039,208.77","549.60","333.00","46.47","4.04"
"WIPRO","593.60","598.00","587.90","591.95","589.35","-2.60","-0.44",5834470,"3,461,182,638.10","601.80","268.00","114.90","8.14"
"MRF","80,002.30","80,297.80","79,451.95","79,922.75","79,562.00","-360.75","-0.45",5158,"411,926,287.54","98,599.95","55,300.00","28.48","-0.78"
"BRITANNIA","3,424.20","3,428.95","3,402.00","3,424.10","3,406.90","-17.20","-0.50",321411,"1,095,600,103.92","4,005.00","3,317.30","-9.29","-6.63"
"BERGEPAINT","854.20","857.15","844.35","850.35","845.90","-4.45","-0.52",630617,"536,844,252.10","872.95","513.20","62.89","5.67"
"DHANI","234.00","242.90","230.70","234.35","233.10","-1.25","-0.53",1321884,"311,607,715.32","395.95","104.85","-","33.08"
"TORNTPOWER","455.95","456.85","450.50","454.60","452.10","-2.50","-0.55",331119,"150,006,840.57","508.70","293.00","43.38","0.49"
"DALBHARAT","2,175.00","2,202.55","2,121.55","2,147.90","2,135.55","-12.35","-0.57",227804,"487,575,735.32","2,375.00","652.30","197.06","15.13"
"NAUKRI","5,258.85","5,287.70","5,187.35","5,255.30","5,225.00","-30.30","-0.58",361282,"1,890,440,580.38","5,880.00","3,104.05","67.92","5.57"
"GAIL","138.90","139.60","136.95","137.85","137.05","-0.80","-0.58",6963674,"962,588,657.02","170.30","81.20","41.24","-10.11"
"ZEEL","201.55","202.15","198.50","200.55","199.25","-1.30","-0.65",3907940,"780,181,141.60","261.00","134.65","38.89","-8.49"
"KOTAKBANK","1,664.00","1,664.00","1,635.10","1,652.85","1,642.00","-10.85","-0.66",2994265,"4,930,117,207.80","2,049.00","1,230.60","19.42","-4.63"
"PAGEIND","32,098.50","32,100.35","31,353.50","31,843.50","31,623.80","-219.70","-0.69",21475,"679,268,423.50","33,989.00","17,685.00","65.46","7.62"
"BPCL","452.00","454.15","448.50","453.45","450.30","-3.15","-0.69",2989610,"1,347,357,434.80","493.90","325.00","-1.74","-2.93"
"RBLBANK","194.00","194.45","190.60","192.95","191.55","-1.40","-0.73",7813177,"1,502,317,673.56","274.30","156.10","6.07","-10.13"
"COROMANDEL","875.00","881.45","859.40","871.55","865.00","-6.55","-0.75",582410,"504,704,857.80","956.00","682.00","12.46","-4.83"
"AUROPHARMA","920.00","923.10","905.05","915.10","908.00","-7.10","-0.78",1240670,"1,130,411,657.10","1,063.90","738.05","15.66","-5.45"
"AXISBANK","720.00","728.50","716.00","722.90","717.20","-5.70","-0.79",6855673,"4,951,098,483.87","799.00","400.15","65.40","-5.18"
"BEL","190.95","191.70","187.95","189.95","188.45","-1.50","-0.79",9141733,"1,734,003,915.44","191.70","86.35","96.74","9.32"
"CADILAHC","578.90","582.80","570.45","577.35","572.75","-4.60","-0.80",2448180,"1,410,739,243.20","673.70","354.10","61.70","-10.14"
"BANDHANBNK","298.75","298.75","291.65","296.05","292.65","-2.40","-0.81",4368038,"1,281,101,865.02","430.70","251.40","-13.07","-14.61"
"SBILIFE","1,133.00","1,148.00","1,124.05","1,133.40","1,124.05","-9.35","-0.82",1555904,"1,770,416,484.48","1,148.00","755.25","28.31","13.10"
"ISEC","729.00","735.00","721.00","728.00","721.95","-6.05","-0.83",350043,"254,453,257.56","802.70","376.90","43.08","15.17"
"ACC","2,400.00","2,413.00","2,349.80","2,393.90","2,374.00","-19.90","-0.83",677603,"1,608,148,423.87","2,413.00","1,289.00","70.92","16.72"
