"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","365 D % CHNG  17-Jul-2020","30 D % CHNG  18-Jun-2021"
"NIFTY 200","8,379.40","8,379.40","8,246.20","8,368.50","8,350.55","-17.95","-0.21",1340783618,"456,300,619,642.34","8,469.20","5,593.35","46.46","-0.14"
"BHARTIARTL","539.50","570.70","537.85","540.55","567.80","27.25","5.04",31932505,"17,876,135,624.05","623.00","394.00","-3.39","1.02"
"ADANITRANS","900.10","946.15","871.00","901.10","946.15","45.05","5.00",89316,"81,906,344.64","1,644.95","221.50","-","-24.46"
"INDUSTOWER","224.80","234.70","219.50","222.90","232.15","9.25","4.15",10105474,"2,312,940,889.12","282.65","162.20","-","-8.82"
"ADANIGREEN","915.50","953.00","875.00","914.45","952.00","37.55","4.11",163911,"150,308,026.11","1,390.00","325.25","-","-21.66"
"SAIL","130.35","134.85","127.30","129.75","134.55","4.80","3.70",75594059,"9,937,594,996.14","151.30","32.65","281.62","-1.22"
"AJANTPHARM","2,263.00","2,365.00","2,218.55","2,248.70","2,330.00","81.30","3.62",272514,"628,937,785.74","2,365.00","1,424.50","51.58","15.07"
"DHANI","227.00","236.45","217.45","226.90","235.00","8.10","3.57",2061765,"471,711,214.35","395.95","104.85","-","27.98"
"BEL","183.00","191.60","182.50","183.05","189.30","6.25","3.41",16091543,"3,033,899,517.22","191.60","86.35","84.15","4.60"
"TATASTEEL","1,332.00","1,369.95","1,306.20","1,330.65","1,368.05","37.40","2.81",12835125,"17,170,830,225.00","1,369.95","342.75","277.11","14.19"
"TORNTPHARM","3,024.90","3,106.80","2,888.00","3,002.85","3,085.00","82.15","2.74",916364,"2,785,902,341.88","3,144.00","2,231.85","30.60","4.04"
"VBL","750.00","761.75","743.05","742.45","760.80","18.35","2.47",326741,"246,839,755.86","918.40","430.90","8.17","3.63"
"NAM-INDIA","388.00","401.50","386.00","389.65","399.05","9.40","2.41",1739865,"688,760,357.55","439.35","249.00","44.18","7.58"
"SYNGENE","614.80","637.95","614.50","613.50","627.85","14.35","2.34",657709,"413,685,806.82","700.00","443.00","34.55","5.51"
"BALKRISIND","2,324.65","2,368.00","2,296.45","2,315.85","2,367.00","51.15","2.21",308657,"720,936,328.04","2,404.30","1,230.00","85.65","3.04"
"SBILIFE","1,115.00","1,138.80","1,093.00","1,105.15","1,129.00","23.85","2.16",4409570,"4,942,157,864.60","1,138.80","755.25","27.40","9.73"
"DIVISLAB","4,802.60","4,913.95","4,768.25","4,791.40","4,889.80","98.40","2.05",956834,"4,655,724,603.84","4,944.75","2,320.20","102.86","12.77"
"INDUSINDBK","992.00","1,009.80","979.00","975.80","993.00","17.20","1.76",8820340,"8,753,570,026.20","1,119.50","483.25","92.60","-3.66"
"SANOFI","7,953.00","8,248.00","7,949.95","7,972.10","8,112.05","139.95","1.76",261839,"2,116,913,328.81","8,989.00","7,424.00","3.53","3.56"
"JSWSTEEL","712.00","725.40","701.45","710.65","723.00","12.35","1.74",8329455,"5,958,059,161.50","773.00","200.10","243.39","3.07"
"ICICIGI","1,474.35","1,505.00","1,465.10","1,474.15","1,499.55","25.40","1.72",616198,"918,153,505.94","1,626.45","1,200.00","12.83","-4.84"
"VEDL","265.00","270.95","261.00","265.45","269.90","4.45","1.68",7335089,"1,953,774,306.04","296.30","91.20","141.65","1.24"
"AUROPHARMA","914.10","920.00","877.05","905.40","919.35","13.95","1.54",2756688,"2,476,498,231.68","1,063.90","738.05","16.19","-4.73"
"GUJGASLTD","698.00","712.10","697.00","694.90","704.95","10.05","1.45",2154805,"1,520,365,763.85","742.80","281.00","142.63","8.02"
"ENDURANCE","1,649.90","1,667.95","1,629.40","1,642.85","1,665.00","22.15","1.35",32718,"54,054,716.52","1,715.55","881.15","84.36","5.99"
"PFC","123.95","126.85","122.65","123.85","125.50","1.65","1.33",5880351,"735,514,303.08","140.50","80.30","52.15","0.28"
"UBL","1,427.00","1,456.05","1,400.15","1,421.35","1,440.25","18.90","1.33",538338,"769,285,002.00","1,498.95","897.00","44.71","2.87"
"ABFRL","222.50","227.80","213.10","223.05","225.90","2.85","1.28",3707340,"820,805,076.00","231.65","117.00","78.44","0.70"
"NAUKRI","5,230.00","5,268.00","5,080.00","5,180.80","5,246.35","65.55","1.27",502662,"2,607,257,527.80","5,880.00","3,090.00","66.46","4.57"
"ICICIBANK","677.90","687.00","670.05","677.45","686.00","8.55","1.26",18367497,"12,424,509,670.68","687.75","333.75","88.97","4.38"
"BAJAJFINSV","13,847.85","14,001.00","13,755.00","13,807.85","13,960.00","152.15","1.10",319493,"4,444,243,477.90","14,001.00","5,400.00","123.67","10.58"
"COALINDIA","143.45","144.30","141.05","142.45","144.00","1.55","1.09",8834228,"1,263,559,630.84","165.00","109.55","9.62","-4.24"
"SRF","7,640.00","8,114.05","7,570.30","7,660.20","7,740.00","79.80","1.04",852480,"6,682,343,500.80","8,114.05","3,722.10","103.42","8.71"
"BERGEPAINT","843.95","852.00","833.35","843.60","851.95","8.35","0.99",733662,"620,736,744.96","872.95","513.20","58.86","4.66"
"ULTRACEMCO","7,639.95","7,685.00","7,510.00","7,596.25","7,670.00","73.75","0.97",289531,"2,200,670,120.11","7,685.00","3,753.90","96.79","9.72"
"GLAND","3,920.00","3,938.85","3,778.00","3,864.90","3,900.30","35.40","0.92",523764,"2,022,451,834.32","4,172.00","1,700.00","-","21.14"
"TRENT","917.00","931.70","898.45","917.00","925.00","8.00","0.87",740399,"678,227,695.97","947.95","540.60","66.67","6.20"
"ACC","2,369.00","2,397.20","2,330.25","2,371.70","2,392.00","20.30","0.86",437170,"1,034,803,248.50","2,397.20","1,289.00","73.95","16.19"
"BATAINDIA","1,577.00","1,602.25","1,559.00","1,582.70","1,596.00","13.30","0.84",255790,"405,457,844.80","1,696.95","1,213.80","24.90","-2.90"
"HINDUNILVR","2,350.00","2,368.45","2,343.10","2,342.40","2,361.00","18.60","0.79",912373,"2,153,172,908.81","2,533.95","2,000.05","5.44","-4.34"
"GRASIM","1,528.00","1,537.25","1,486.00","1,518.70","1,530.50","11.80","0.78",1293433,"1,959,745,009.95","1,599.50","565.00","166.07","0.79"
"DABUR","586.15","603.45","586.15","588.70","592.65","3.95","0.67",2559515,"1,522,348,331.70","605.00","462.95","26.22","4.30"
"TECHM","1,124.00","1,130.70","1,106.50","1,120.85","1,128.10","7.25","0.65",2533035,"2,831,299,871.25","1,152.50","642.55","68.66","2.88"
"GODREJPROP","1,542.80","1,552.30","1,515.75","1,532.75","1,542.00","9.25","0.60",524528,"807,290,554.24","1,596.80","819.75","75.87","9.40"
"BIOCON","382.75","383.80","376.70","379.55","381.80","2.25","0.59",1969181,"750,100,426.52","487.75","363.25","-5.02","-4.38"
"SRTRANSFIN","1,375.50","1,378.00","1,350.10","1,365.70","1,373.45","7.75","0.57",1333534,"1,820,780,652.92","1,534.95","555.55","100.04","-0.18"
"COFORGE","4,725.00","4,849.90","4,563.60","4,723.40","4,749.00","25.60","0.54",981330,"4,596,569,346.60","4,849.90","1,693.80","-","15.27"
