"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","365 D % CHNG  17-Jul-2020","30 D % CHNG  18-Jun-2021"
"CIPLA","885.10","929.90","877.75","883.10","920.55","37.45","4.24",6280365,"5,708,851,785.00","997.00","662.60","29.63","-9.85"
"ALKEM","3,334.60","3,465.00","3,325.35","3,331.65","3,461.90","130.25","3.91",259161,"888,162,888.27","3,558.90","2,430.65","31.21","4.25"
"AMARAJABAT","695.20","722.20","695.15","694.85","721.75","26.90","3.87",1504366,"1,072,658,088.98","1,025.55","675.10","2.41","-6.84"
"ABBOTINDIA","18,190.00","19,244.70","18,049.95","18,193.95","18,870.05","676.10","3.72",24423,"458,711,809.08","19,244.70","13,959.80","22.49","10.02"
"MARICO","532.00","553.20","527.85","527.85","547.00","19.15","3.63",7140990,"3,862,275,851.40","553.20","333.00","45.75","-1.83"
"TVSMOTOR","564.05","605.00","564.05","561.85","581.50","19.65","3.50",9883338,"5,809,920,243.30","666.00","383.70","39.43","-8.24"
"APOLLOTYRE","216.90","225.50","216.05","216.30","223.50","7.20","3.33",5767529,"1,280,391,438.00","261.25","107.20","96.01","-4.48"
"BALKRISIND","2,315.00","2,397.95","2,300.55","2,307.50","2,381.25","73.75","3.20",544450,"1,283,148,871.00","2,404.30","1,230.00","85.70","2.89"
"DABUR","587.20","603.65","584.15","584.60","601.85","17.25","2.95",3145307,"1,878,125,715.84","605.00","470.90","19.40","3.04"
"GLENMARK","593.00","611.80","590.45","591.60","609.00","17.40","2.94",2224480,"1,341,316,950.40","690.95","419.50","39.46","-9.71"
"SANOFI","8,105.00","8,377.00","8,096.30","8,100.90","8,336.00","235.10","2.90",54093,"447,838,110.72","8,989.00","7,424.00","2.80","6.32"
"GODREJPROP","1,565.00","1,624.00","1,555.00","1,564.05","1,609.00","44.95","2.87",1339435,"2,143,484,436.15","1,624.00","819.75","77.10","11.24"
"ENDURANCE","1,681.70","1,750.00","1,675.35","1,681.85","1,729.00","47.15","2.80",178912,"305,628,213.12","1,750.00","890.00","80.55","5.55"
"VOLTAS","1,031.00","1,065.00","1,026.75","1,031.25","1,060.00","28.75","2.79",1246800,"1,313,453,928.00","1,132.00","583.70","74.95","0.28"
"WHIRLPOOL","2,139.90","2,210.00","2,131.85","2,139.90","2,199.00","59.10","2.76",84154,"184,055,738.02","2,787.00","1,980.10","1.65","-3.50"
"CROMPTON","470.10","488.00","470.10","471.15","484.15","13.00","2.76",1448171,"697,511,562.15","496.70","238.00","89.18","11.66"
"CADILAHC","573.00","594.50","572.50","572.00","586.70","14.70","2.57",3187410,"1,864,826,094.60","673.70","356.00","58.56","-10.72"
"NAVINFLUOR","3,569.00","3,730.00","3,551.60","3,573.70","3,662.10","88.40","2.47",458620,"1,679,503,129.60","4,015.00","1,692.00","101.76","-3.78"
"EXIDEIND","174.85","181.00","174.60","174.20","178.45","4.25","2.44",6657246,"1,185,522,367.68","219.30","150.40","13.26","-4.73"
"L&TFH","86.40","88.95","86.25","86.25","88.35","2.10","2.43",8850039,"778,360,930.05","113.40","51.96","38.55","-7.95"
"MINDTREE","2,800.00","2,944.00","2,794.00","2,795.50","2,862.00","66.50","2.38",1595656,"4,604,951,520.08","2,944.00","1,043.15","163.04","8.28"
"ADANIPORTS","661.25","687.80","659.50","659.65","675.00","15.35","2.33",13440904,"9,115,083,456.64","901.00","308.65","109.31","-7.22"
"LUPIN","1,090.00","1,127.60","1,080.90","1,085.90","1,110.00","24.10","2.22",1455348,"1,607,402,759.04","1,267.65","843.15","26.37","-6.48"
"SHREECEM","27,661.00","28,333.75","27,583.15","27,638.95","28,250.00","611.05","2.21",45521,"1,280,143,838.05","32,048.00","18,183.55","27.11","-1.76"
"CONCOR","658.80","665.75","641.35","630.10","643.95","13.85","2.20",6602645,"4,303,471,958.10","748.00","351.00","39.74","-9.25"
"IGL","550.60","562.00","548.05","547.60","559.45","11.85","2.16",2669022,"1,488,673,710.72","594.85","364.10","36.30","-0.43"
"POWERGRID","169.05","173.20","168.20","167.40","171.00","3.60","2.15",25606627,"4,379,501,415.81","188.63","115.95","-7.90","-29.07"
"RAMCOCEM","1,072.00","1,099.95","1,057.30","1,067.05","1,089.90","22.85","2.14",752421,"817,362,456.51","1,132.70","664.05","48.60","3.01"
"PETRONET","215.90","220.65","214.90","214.90","219.45","4.55","2.12",2940497,"643,998,247.97","275.35","207.25","-11.71","-4.85"
"BAJAJ-AUTO","3,776.00","3,858.00","3,753.15","3,763.75","3,843.00","79.25","2.11",511767,"1,956,070,709.73","4,361.40","2,822.45","21.44","-8.75"
"CANBK","149.65","155.05","148.85","149.65","152.70","3.05","2.04",19185850,"2,922,388,672.00","174.60","82.25","49.28","-2.67"
"TATACHEM","752.40","770.75","751.15","751.70","766.50","14.80","1.97",2255806,"1,723,300,435.64","833.95","273.45","140.62","4.32"
"ZEEL","199.70","206.00","197.00","199.10","203.00","3.90","1.96",9319250,"1,885,563,852.50","261.00","134.65","39.87","-7.85"
"TATAPOWER","122.60","126.65","122.30","122.75","125.15","2.40","1.96",30163350,"3,771,926,917.50","132.70","47.50","146.73","-0.04"
"NTPC","116.95","119.95","116.25","116.75","119.00","2.25","1.93",14546264,"1,723,295,896.08","122.00","78.10","32.44","-0.72"
"OIL","163.35","168.50","162.05","163.50","166.65","3.15","1.93",634052,"104,859,519.76","177.40","83.50","68.30","5.93"
"SRTRANSFIN","1,378.00","1,410.10","1,360.10","1,371.00","1,397.20","26.20","1.91",1426400,"1,982,824,376.00","1,534.95","555.55","89.22","0.97"
"PFC","127.35","131.90","127.35","127.60","130.00","2.40","1.88",7590366,"987,127,098.30","140.50","80.55","52.45","2.86"
"FEDERALBNK","86.15","88.00","85.35","85.90","87.50","1.60","1.86",14456555,"1,256,708,326.15","92.50","45.35","53.94","-0.69"
"ADANIENT","1,409.50","1,449.50","1,400.25","1,400.25","1,426.05","25.80","1.84",4403219,"6,289,558,019.60","1,717.20","171.20","681.83","-8.09"
"M&M","735.20","760.00","731.85","731.45","744.75","13.30","1.82",4642619,"3,475,835,992.92","952.05","567.50","20.93","-6.42"
"GAIL","138.00","141.80","137.25","137.50","140.00","2.50","1.82",14418252,"2,017,546,002.36","170.30","81.20","39.17","-9.54"
"M&MFIN","149.50","152.95","148.70","148.70","151.40","2.70","1.82",10574957,"1,593,751,769.47","224.30","112.70","10.80","-5.68"
"POLYCAB","1,815.00","1,861.90","1,811.75","1,814.75","1,847.00","32.25","1.78",255158,"469,942,349.66","2,033.00","798.00","122.03","-6.82"
"SYNGENE","628.00","645.55","622.60","625.70","636.80","11.10","1.77",387869,"246,009,791.94","700.00","443.00","37.28","7.13"
"DIXON","4,229.90","4,326.80","4,212.70","4,234.65","4,309.00","74.35","1.76",284065,"1,215,497,091.10","21,499.00","3,345.15","-41.60","-5.43"
"GUJGASLTD","709.00","719.00","704.25","706.10","718.25","12.15","1.72",831581,"591,453,670.44","742.80","281.00","149.46","6.59"
"GMRINFRA","28.15","28.55","27.90","28.05","28.50","0.45","1.60",16028878,"453,937,824.96","33.90","20.60","24.67","-8.63"
"LTI","4,636.00","4,727.80","4,574.25","4,639.65","4,699.45","69.80","1.51",551524,"2,580,294,003.52","4,727.80","2,311.60","93.28","12.23"
"HAL","1,100.90","1,125.00","1,100.90","1,099.90","1,116.10","16.20","1.47",204647,"228,009,501.52","1,423.00","658.00","20.98","6.14"
"AUBANK","1,196.00","1,223.35","1,171.20","1,193.65","1,211.10","17.45","1.46",1268395,"1,536,977,641.25","1,354.40","616.70","59.92","10.80"
"HCLTECH","1,013.00","1,049.95","1,009.90","1,007.60","1,022.30","14.70","1.46",9330054,"9,658,285,299.72","1,067.00","677.05","45.10","2.44"
"EMAMILTD","553.85","568.00","544.05","551.80","559.75","7.95","1.44",528947,"291,909,980.89","578.50","236.00","129.34","0.35"
"TRENT","919.70","942.95","912.00","914.90","927.50","12.60","1.38",720404,"669,082,419.04","947.95","542.00","65.01","6.06"
"SBICARD","1,024.90","1,040.00","1,015.15","1,017.45","1,031.20","13.75","1.35",2072943,"2,126,694,411.99","1,139.50","720.90","36.43","4.38"
"COALINDIA","142.30","144.90","141.25","142.15","144.05","1.90","1.34",9526451,"1,368,760,479.68","165.00","109.55","8.35","-1.63"
"ACC","2,365.00","2,415.00","2,360.00","2,364.00","2,395.50","31.50","1.33",465284,"1,112,424,251.40","2,415.00","1,289.00","68.78","15.15"
"JUBLFOOD","3,751.00","3,816.40","3,727.70","3,723.20","3,771.95","48.75","1.31",801602,"3,035,787,014.30","3,816.40","1,675.00","121.13","19.77"
"GODREJIND","542.00","554.85","539.25","542.95","549.75","6.80","1.25",164683,"90,343,446.97","611.55","350.10","51.96","-6.97"
"CUMMINSIND","842.10","858.20","841.45","842.05","852.50","10.45","1.24",443239,"377,896,706.62","934.25","391.00","110.17","-1.05"
"TORNTPHARM","3,046.20","3,105.75","3,023.65","3,037.40","3,075.00","37.60","1.24",189894,"584,186,103.72","3,144.00","2,292.20","27.46","3.94"
"JSWENERGY","251.00","254.80","242.00","250.05","253.00","2.95","1.18",2412337,"600,599,542.89","258.30","44.75","-","-"
"HDFC","2,417.95","2,464.70","2,414.80","2,414.80","2,442.55","27.75","1.15",4128459,"10,076,536,304.25","2,896.00","1,623.00","28.63","-3.45"
"APLLTD","780.00","798.60","773.80","778.10","787.00","8.90","1.14",965849,"760,924,817.67","1,145.00","773.80","-20.63","-21.15"
"HDFCAMC","2,826.90","2,860.00","2,821.00","2,826.65","2,857.00","30.35","1.07",225152,"640,366,060.80","3,358.90","2,070.05","18.48","-3.99"
"AUROPHARMA","913.05","929.95","903.00","908.25","918.00","9.75","1.07",1528530,"1,403,373,963.60","1,063.90","738.05","11.86","-6.09"
"DIVISLAB","4,879.95","4,940.95","4,862.25","4,843.80","4,893.45","49.65","1.03",659061,"3,229,385,718.78","4,944.75","2,342.30","99.86","11.19"
"BIOCON","383.45","389.25","381.10","382.55","386.45","3.90","1.02",2792729,"1,078,328,521.48","487.75","363.25","-3.35","-6.13"
"LTTS","3,669.70","3,768.05","3,651.00","3,682.70","3,719.00","36.30","0.99",290673,"1,080,422,820.81","3,818.00","1,445.00","146.56","27.31"
"RBLBANK","192.00","194.00","189.35","191.30","193.15","1.85","0.97",8116933,"1,561,292,062.55","274.30","156.10","8.29","-9.70"
"BATAINDIA","1,620.00","1,640.00","1,612.95","1,612.25","1,627.70","15.45","0.96",430457,"699,776,726.62","1,696.95","1,213.80","27.61","0.70"
"HEROMOTOCO","2,764.00","2,802.00","2,745.70","2,745.70","2,771.00","25.30","0.92",745920,"2,071,516,809.60","3,629.05","2,620.75","-1.23","-6.21"
"KOTAKBANK","1,641.65","1,669.90","1,626.00","1,641.65","1,656.70","15.05","0.92",3222001,"5,327,224,233.39","2,049.00","1,230.60","18.15","-3.76"
"ONGC","114.30","116.75","113.80","114.75","115.80","1.05","0.92",12236156,"1,411,318,233.04","128.50","64.10","44.34","-3.89"
"TORNTPOWER","452.20","456.50","448.05","452.20","455.95","3.75","0.83",409490,"186,019,022.30","508.70","293.00","42.09","-0.58"
"DRREDDY","4,685.00","4,805.00","4,677.60","4,672.65","4,711.00","38.35","0.82",1373200,"6,515,394,576.00","5,614.60","4,075.40","8.61","-14.00"
"AMBUJACEM","411.80","415.35","406.00","408.75","412.00","3.25","0.80",2700828,"1,110,715,515.00","415.35","197.45","89.59","18.68"
"GRASIM","1,537.70","1,566.00","1,521.65","1,544.60","1,555.85","11.25","0.73",1126373,"1,743,310,019.56","1,599.50","599.35","150.62","2.75"
"VBL","753.00","768.90","753.00","752.75","758.00","5.25","0.70",751627,"572,634,546.22","918.40","430.90","8.04","3.88"
"ISEC","724.80","732.00","716.15","723.85","728.50","4.65","0.64",313495,"227,305,819.65","802.70","376.90","51.53","13.78"
"UBL","1,421.90","1,452.00","1,418.40","1,418.35","1,427.35","9.00","0.63",342615,"490,963,868.85","1,498.95","897.00","47.61","-2.13"
"RECLTD","150.60","153.15","149.50","151.40","152.35","0.95","0.63",3701700,"559,882,125.00","167.80","91.80","47.64","5.87"
"MCDOWELL-N","640.45","648.00","637.00","638.00","642.00","4.00","0.63",1165344,"749,351,152.32","690.00","494.00","10.47","-4.43"
"PFIZER","5,835.00","5,910.00","5,759.75","5,846.05","5,882.15","36.10","0.62",84090,"491,893,704.90","6,105.00","4,179.90","36.06","3.51"
"IDEA","8.25","8.40","8.20","8.25","8.30","0.05","0.61",119176003,"989,160,824.90","13.80","7.60","-","-18.32"
"MFSL","1,120.40","1,135.00","1,106.15","1,114.85","1,121.50","6.65","0.60",768829,"864,048,471.65","1,148.05","514.90","98.27","3.27"
"BRITANNIA","3,424.00","3,440.00","3,378.00","3,405.60","3,425.05","19.45","0.57",988317,"3,375,922,858.11","4,005.00","3,317.30","-10.25","-6.88"
"IRCTC","2,324.00","2,362.00","2,300.00","2,321.10","2,334.00","12.90","0.56",871483,"2,034,834,371.53","2,479.95","1,290.05","71.58","11.49"
"GODREJCP","987.90","998.85","970.50","986.85","992.25","5.40","0.55",1015249,"1,001,705,578.34","1,010.00","641.00","45.09","12.42"
"BAJAJHLDNG","4,000.00","4,033.90","3,964.25","3,996.35","4,017.00","20.65","0.52",21622,"86,671,354.56","4,060.00","2,212.65","48.13","11.58"
"TATAMOTORS","294.00","300.00","293.25","292.90","294.40","1.50","0.51",30589609,"9,078,078,262.93","360.75","102.30","176.97","-14.24"
"TATACONSUM","752.00","762.00","745.20","751.20","755.00","3.80","0.51",1613176,"1,220,674,147.44","788.15","417.00","75.64","-0.90"
"MRF","79,964.70","81,140.00","79,713.30","79,725.50","80,111.00","385.50","0.48",9818,"789,163,378.32","98,599.95","55,300.00","28.97","-0.62"
"HDFCBANK","1,419.00","1,431.75","1,407.95","1,418.25","1,425.00","6.75","0.48",5827744,"8,290,606,891.84","1,641.00","993.00","33.22","-5.58"
"INDUSTOWER","223.00","232.00","221.50","221.95","223.00","1.05","0.47",7346694,"1,661,454,848.10","282.65","162.20","-","-8.17"
"LT","1,598.00","1,624.90","1,585.00","1,596.00","1,601.95","5.95","0.37",2536568,"4,072,662,849.44","1,647.15","843.00","73.11","5.63"
"CUB","150.30","152.30","149.85","150.25","150.80","0.55","0.37",1272801,"191,989,302.84","200.00","115.60","23.66","-11.49"
"HDFCLIFE","664.50","672.00","661.35","662.65","664.70","2.05","0.31",2640763,"1,761,309,698.11","746.00","555.95","3.90","-3.47"
"PIIND","2,962.80","3,007.10","2,919.00","2,947.25","2,956.00","8.75","0.30",530557,"1,574,486,258.77","3,309.75","1,755.30","65.87","1.54"
"VGUARD","251.00","256.40","247.25","248.75","249.45","0.70","0.28",2116411,"532,806,469.25","285.00","159.35","51.17","-6.75"
"PEL","2,335.85","2,354.15","2,311.00","2,317.70","2,324.00","6.30","0.27",690144,"1,608,725,664.00","2,520.90","1,178.55","62.81","-4.01"
"HINDUNILVR","2,340.00","2,356.55","2,318.00","2,334.75","2,339.25","4.50","0.19",1708251,"3,998,537,280.72","2,533.95","2,000.05","4.64","-6.33"
"DALBHARAT","2,151.00","2,169.20","2,131.10","2,135.40","2,138.15","2.75","0.13",167345,"358,622,008.45","2,375.00","652.30","197.10","13.94"
"EICHERMOT","2,528.15","2,563.70","2,509.00","2,528.15","2,531.40","3.25","0.13",606230,"1,536,908,233.70","3,037.00","2,006.67","-88.19","-6.54"
"SAIL","140.50","145.90","140.50","141.95","142.10","0.15","0.11",83758559,"11,989,200,135.26","151.30","32.65","300.42","8.94"
"IDFCFIRSTB","52.40","52.50","51.65","51.95","52.00","0.05","0.10",27367559,"1,423,386,743.59","69.30","26.00","84.22","-6.98"
"PRESTIGE","339.00","344.90","335.95","340.70","341.00","0.30","0.09",1480292,"503,595,338.40","357.00","190.20","74.81","17.02"
"BOSCHLTD","14,957.15","15,325.00","14,839.25","14,933.30","14,940.00","6.70","0.04",47095,"710,295,738.05","16,830.05","11,265.05","13.36","-0.61"
"MARUTI","7,000.00","7,095.00","6,964.90","6,993.50","6,994.00","0.50","0.01",715546,"5,022,732,214.24","8,329.00","6,118.95","13.07","-6.60"
"CESC","844.60","847.85","834.50","838.00","838.00","-","-",264644,"222,692,633.12","870.90","538.65","48.78","7.80"
"PNB","39.50","40.00","39.25","39.40","39.40","-","-",45647205,"1,807,629,318.00","46.35","26.30","20.31","-8.37"
"DMART","3,524.00","3,524.00","3,475.25","3,502.60","3,501.00","-1.60","-0.05",270545,"945,922,716.20","3,533.40","1,954.85","70.88","7.09"
"BBTC","1,246.80","1,259.95","1,231.55","1,243.55","1,242.90","-0.65","-0.05",62477,"77,846,966.77","1,565.00","1,101.00","3.40","-7.02"
"BERGEPAINT","849.90","853.50","842.20","845.50","845.00","-0.50","-0.06",598866,"507,191,592.72","872.95","513.20","61.77","5.12"
"INDIAMART","7,155.00","7,208.90","7,101.00","7,145.80","7,140.70","-5.10","-0.07",48525,"346,796,043.75","9,950.00","2,341.00","188.23","2.17"
"INDIGO","1,666.00","1,674.50","1,637.05","1,653.20","1,652.00","-1.20","-0.07",451139,"746,779,409.48","1,860.00","875.25","81.72","-4.40"
"NATCOPHARM","1,020.00","1,036.00","1,002.10","1,018.40","1,017.55","-0.85","-0.08",590417,"601,735,293.89","1,189.00","711.00","41.28","-6.94"
"ABFRL","228.00","234.50","219.15","227.20","227.00","-0.20","-0.09",14124521,"3,204,288,834.06","234.50","117.00","81.25","6.37"
"BANKBARODA","80.60","81.50","79.80","80.60","80.50","-0.10","-0.12",23749505,"1,909,222,706.95","99.85","39.50","70.22","-7.46"
"NAUKRI","5,220.85","5,277.25","5,182.00","5,208.90","5,202.00","-6.90","-0.13",444423,"2,317,990,373.79","5,880.00","3,110.00","65.88","5.17"
"APOLLOHOSP","4,031.00","4,086.45","4,007.50","4,038.75","4,032.60","-6.15","-0.15",627367,"2,538,489,997.42","4,189.65","1,567.10","146.07","12.46"
"SIEMENS","1,957.85","1,981.00","1,941.10","1,953.65","1,949.35","-4.30","-0.22",388612,"762,763,747.48","2,178.00","1,120.80","70.06","-1.94"
"PAGEIND","31,648.90","32,027.90","31,445.00","31,526.40","31,450.00","-76.40","-0.24",13687,"433,631,534.00","33,989.00","17,685.00","64.80","6.36"
"INFY","1,610.00","1,623.40","1,606.15","1,617.00","1,611.75","-5.25","-0.32",6234257,"10,057,976,188.38","1,623.40","912.10","69.47","3.45"
"NAM-INDIA","400.75","406.35","396.90","400.75","399.40","-1.35","-0.34",1526596,"611,523,825.68","439.35","249.00","44.23","9.23"
"BANDHANBNK","293.00","295.50","290.55","292.50","291.50","-1.00","-0.34",5064518,"1,481,168,934.28","430.70","251.40","-13.04","-12.89"
"COLPAL","1,700.00","1,710.25","1,670.00","1,709.50","1,703.00","-6.50","-0.38",620960,"1,053,197,836.80","1,823.40","1,322.15","18.08","2.39"
"YESBANK","12.90","12.95","12.70","12.85","12.80","-0.05","-0.39",99429624,"1,271,704,890.96","20.75","11.65","9.83","-5.17"
"BHARTIARTL","565.90","568.50","557.80","567.15","564.75","-2.40","-0.42",9938812,"5,594,259,110.44","623.00","394.00","0.17","8.04"
"ABCAPITAL","117.00","117.90","115.50","116.50","116.00","-0.50","-0.43",2165183,"252,460,337.80","139.70","53.00","105.47","-0.55"
"PIDILITIND","2,310.80","2,311.30","2,272.00","2,296.50","2,286.00","-10.50","-0.46",390786,"891,640,784.76","2,333.95","1,306.95","67.52","6.23"
"IOC","104.25","106.30","102.90","103.90","103.40","-0.50","-0.48",26245260,"2,732,656,471.20","117.85","71.65","12.20","-3.93"
"ITC","206.10","207.10","204.60","206.05","205.05","-1.00","-0.49",14940336,"3,072,031,888.32","239.20","163.35","4.75","1.35"
"MUTHOOTFIN","1,571.50","1,598.75","1,548.80","1,563.05","1,555.00","-8.05","-0.52",690368,"1,084,851,178.88","1,616.05","1,000.00","15.94","6.42"
"HAVELLS","1,179.55","1,195.00","1,167.65","1,178.75","1,172.30","-6.45","-0.55",2076845,"2,463,698,918.15","1,231.90","568.40","106.64","20.43"
"MANAPPURAM","210.00","218.00","206.00","208.60","207.45","-1.15","-0.55",9737582,"2,059,401,217.18","218.00","139.10","14.65","28.17"
"PGHH","12,725.00","12,791.00","12,655.00","12,771.05","12,700.00","-71.05","-0.56",3785,"48,113,746.65","14,135.65","9,691.40","23.64","-3.02"
"HINDZINC","325.90","330.40","319.00","323.55","321.60","-1.95","-0.60",2759663,"896,117,769.36","362.10","197.30","55.29","-4.87"
"ICICIPRULI","638.40","647.70","631.30","636.35","632.05","-4.30","-0.68",1123140,"716,653,171.20","661.00","397.55","41.65","3.52"
"DLF","338.80","344.50","336.25","340.05","337.60","-2.45","-0.72",9615942,"3,272,978,178.54","344.55","137.80","143.15","18.40"
"WIPRO","588.85","593.00","585.00","590.45","586.10","-4.35","-0.74",3178206,"1,872,185,808.42","601.80","268.00","113.16","8.82"
"ICICIBANK","687.00","687.65","678.00","687.50","682.25","-5.25","-0.76",14536250,"9,913,431,775.00","692.50","333.75","95.84","7.41"
"BPCL","449.20","454.20","444.90","449.10","445.65","-3.45","-0.77",6765935,"3,033,506,957.25","493.90","325.00","-1.04","-3.68"
"HINDPETRO","264.90","265.35","260.50","263.60","261.55","-2.05","-0.78",6244192,"1,643,408,892.48","312.00","162.90","15.44","-9.90"
"RELIANCE","2,058.00","2,067.95","2,031.10","2,053.25","2,037.00","-16.25","-0.79",5238304,"10,733,442,045.12","2,369.35","1,830.00","-2.07","-1.65"
"NMDC","182.80","186.50","180.60","182.75","181.20","-1.55","-0.85",23398157,"4,280,458,841.58","213.20","75.60","109.70","0.66"
"TCS","3,219.00","3,223.50","3,162.35","3,195.80","3,167.70","-28.10","-0.88",2999943,"9,574,588,079.37","3,399.65","2,216.45","40.41","-4.34"
"ULTRACEMCO","7,719.80","7,730.00","7,592.00","7,700.45","7,630.05","-70.40","-0.91",245105,"1,879,550,926.75","7,730.00","3,753.90","84.18","12.83"
"NESTLEIND","17,914.75","17,955.95","17,655.05","17,914.75","17,740.00","-174.75","-0.98",83370,"1,481,809,209.30","18,844.00","15,100.00","7.93","1.79"
"TATAELXSI","4,290.00","4,295.00","4,205.50","4,276.95","4,235.00","-41.95","-0.98",106288,"449,919,229.76","4,575.00","928.50","351.61","6.84"
"INDUSINDBK","989.00","1,000.00","980.00","992.05","982.00","-10.05","-1.01",3115750,"3,076,522,707.50","1,119.50","483.25","80.21","-2.56"
"FORTIS","254.55","254.55","246.60","252.55","249.95","-2.60","-1.03",2095878,"524,807,851.20","259.80","123.20","85.43","5.10"
"TITAN","1,742.00","1,747.90","1,711.20","1,739.15","1,721.00","-18.15","-1.04",1199644,"2,076,835,689.24","1,792.95","1,032.70","67.15","0.44"
"LICHSGFIN","408.00","417.35","406.10","414.90","410.45","-4.45","-1.07",7898855,"3,245,797,496.60","542.45","255.40","51.73","-12.33"
"AXISBANK","718.05","718.65","707.15","717.25","709.40","-7.85","-1.09",10358450,"7,388,682,385.00","799.00","400.15","62.68","-4.61"
"BHEL","60.55","62.25","58.80","60.20","59.50","-0.70","-1.16",64497796,"3,912,436,305.36","79.55","26.75","56.57","-7.24"
"ICICIGI","1,507.90","1,513.90","1,472.55","1,495.95","1,476.85","-19.10","-1.28",536774,"798,032,641.28","1,626.45","1,200.00","14.91","-5.43"
"JINDALSTEL","435.00","443.80","429.40","437.60","431.85","-5.75","-1.31",10427407,"4,558,653,792.26","501.70","159.60","137.50","9.69"
"ASIANPAINT","3,008.00","3,008.65","2,951.90","2,997.45","2,955.90","-41.55","-1.39",1067423,"3,176,949,726.44","3,179.50","1,697.50","72.25","-0.13"
"JSWSTEEL","746.15","757.85","733.55","748.40","737.45","-10.95","-1.46",9971622,"7,454,784,607.20","773.00","213.15","244.01","9.11"
"BHARATFORG","786.80","789.85","770.25","785.20","773.15","-12.05","-1.53",1406463,"1,096,253,520.72","832.00","376.00","103.45","5.04"
"SBILIFE","1,123.00","1,123.00","1,092.00","1,128.85","1,111.05","-17.80","-1.58",1238229,"1,368,193,515.84","1,148.00","755.25","28.12","12.95"
"TATASTEEL","1,455.65","1,472.70","1,427.80","1,458.60","1,435.25","-23.35","-1.60",14049265,"20,394,194,059.30","1,481.80","342.75","290.26","24.40"
"CASTROLIND","141.15","141.15","138.10","140.75","138.45","-2.30","-1.63",840487,"116,726,834.56","154.90","104.00","21.39","-2.16"
"DHANI","233.10","237.10","228.30","234.55","230.70","-3.85","-1.64",1361616,"316,003,841.28","395.95","104.85","-","32.48"
"COFORGE","5,188.00","5,230.00","5,035.05","5,171.55","5,085.00","-86.55","-1.67",504421,"2,587,977,338.39","5,230.00","1,772.55","-","27.34"
"UPL","821.25","834.50","786.15","819.70","805.00","-14.70","-1.79",7703034,"6,259,947,610.44","864.70","399.00","77.52","1.78"
"IBULHSGFIN","282.20","285.15","274.65","280.75","275.65","-5.10","-1.82",12940645,"3,621,310,096.80","313.70","127.75","31.25","6.34"
"ATGL","930.00","930.00","880.05","922.20","904.05","-18.15","-1.97",287188,"257,555,942.16","1,679.00","145.00","-","-14.09"
"SBIN","441.50","444.40","430.70","441.55","432.20","-9.35","-2.12",35196813,"15,296,534,929.80","444.40","175.50","130.94","4.76"
