"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","365 D % CHNG  17-Jul-2020","30 D % CHNG  18-Jun-2021"
"NIFTY 200","8,402.45","8,445.05","8,377.55","8,386.25","8,396.15","9.90","0.12",1436224699,"569,294,794,133.82","8,469.20","5,593.35","45.64","0.58"
"SUNPHARMA","702.95","783.75","696.15","703.00","773.55","70.55","10.04",35893710,"26,987,762,674.80","783.75","452.25","42.60","3.75"
"SRF","8,000.00","8,724.80","7,931.65","7,931.65","8,665.00","733.35","9.25",1302448,"11,145,881,102.72","8,724.80","3,726.90","101.57","12.00"
"DEEPAKNTR","1,970.00","2,084.90","1,946.45","1,900.85","2,038.00","137.15","7.22",6873158,"14,011,001,314.58","2,084.90","567.00","209.13","7.98"
"TECHM","1,185.00","1,237.30","1,175.00","1,127.80","1,207.70","79.90","7.08",20425030,"24,787,612,157.70","1,237.30","642.55","66.74","3.64"
"LAURUSLABS","600.00","648.00","588.00","605.40","647.35","41.95","6.93",8713131,"5,438,649,238.89","1,550.00","252.00","-20.74","-10.89"
"GODREJAGRO","659.95","700.00","657.50","658.60","698.00","39.40","5.98",1348610,"929,583,386.90","700.00","448.05","43.07","3.16"
"COROMANDEL","861.95","924.95","861.90","864.50","916.00","51.50","5.96",1776678,"1,618,429,290.54","956.00","682.00","10.78","-3.79"
"ASHOKLEY","126.90","137.50","126.50","125.20","132.50","7.30","5.83",78328764,"10,485,088,349.04","138.90","48.00","144.53","1.34"
"SUNTV","544.95","583.70","542.25","545.15","574.00","28.85","5.29",11137343,"6,359,088,732.71","583.70","381.75","40.81","1.63"
"MGL","1,119.65","1,173.70","1,115.00","1,108.80","1,164.50","55.70","5.02",1470443,"1,703,199,422.47","1,284.40","779.65","10.24","-4.38"
"AARTIIND","894.70","941.95","892.95","894.40","938.00","43.60","4.87",1905761,"1,761,399,604.25","941.95","475.23","-7.37","3.52"
"BANKINDIA","71.65","75.20","71.50","71.65","75.05","3.40","4.75",4353217,"319,351,999.12","101.40","38.20","53.26","-8.90"
"VEDL","291.50","306.35","290.50","288.60","301.45","12.85","4.45",34614433,"10,359,407,508.24","306.35","91.20","162.36","8.29"
"ESCORTS","1,143.70","1,188.00","1,137.15","1,137.15","1,187.20","50.05","4.40",1377376,"1,615,841,106.88","1,468.45","1,077.40","-0.32","-4.87"
